title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
Data & Analytics,Data Analyst,WTW,"Thane, Maharashtra","Experience of working in data management, data quality, data governance, data modelling, and business intelligence would be advantageous but not essential.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=6abd88713b125262&fccid=7e883e8ff0d69499&vjs=3
Business Analyst,Data Analyst,Capgemini Invent,"Bengaluru, Karnataka","The BA should have done Consultancy in data mgt. and data regulatory stakeholders.
The BA should have done Consultancy in data mgt. and data regulatory…",EmployerActive 1 day ago,"₹5,00,000 - ₹16,00,000 a year",2023-03-15,/company/Capgemini-Invent/jobs/Business-Analyst-ee5b4eaffe82b062?fccid=5d72e2fe76078b02&vjs=3
Sr. Data Analyst,Data Analyst,StratMed,"Bengaluru, Karnataka"," Preparing genre wise channel performance reports – Weekly & monthly.
 Preparing different program performance report – Weekly & monthly.",EmployerActive 7 days ago,"₹5,00,000 - ₹6,00,000 a year",2023-03-15,/company/Stratmed/jobs/Senior-Data-Analyst-5c6e486f5b8528c8?fccid=fde96455f205d7a9&vjs=3
Data Analytics and Business Intelligence Specialist,Data Analyst,Profitics,"Remote in Madhapur, Hyderabad, Telangana",Coordinates with IT to define and establish the overall data warehouse architecture for the business including an integrated data model covering the entire…,PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=23da084542ba2aa2&fccid=b9e4b235a6a89ee6&vjs=3
Sr. Data Analyst,Data Analyst,Invictus Data,"Chennai, Tamil Nadu","Excellent communication and data presentation skills.
Continually evolve analytics processes and tools; incorporate new sources of data to improve understanding…",PostedPosted 16 days ago,"From ₹10,00,000 a year",2023-03-15,/company/Invictus-Data/jobs/Senior-Data-Analyst-0932c6f24fc493b4?fccid=0f62249949b1abe8&vjs=3
Data Analyst Business Intelligence/Data Visualization ...,Data Analyst,Z2plus Placement & Security Agency,India,4.Performing Industry research & correlating data of various business segments to effectively communicate the trends and patterns using relevant data.,PostedPosted 30+ days ago,"₹13,00,000 - ₹15,00,000 a year",2023-03-15,/rc/clk?jk=6d75797b2367cffe&fccid=378a2c43f6b46faf&vjs=3
Research & Data Analyst,Data Analyst,BeyondCodes,"Chandigarh, Chandigarh","All employees receive an equity package in the company as part of their total compensation.
Yearly/Quarterly bonuses along with monthly awards to honour our…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=5adfc7f2fff23d26&fccid=b955bd5333908cae&vjs=3
Data Science Analyst,Data Analyst,Diageo,"Bengaluru, Karnataka","Apply quantitative analysis, and data mining to extract, capture and understand data to form an opinion and derive relevant insights for strategies in customer…",PostedPosted 22 days ago,?,2023-03-15,/rc/clk?jk=ad79de3a29378fa2&fccid=942d238ea16c5cd0&vjs=3
Analytics Analyst,Data Analyst,Deutsche Bank,"Jaipur, Rajasthan+1 location","Provide data and analytical support to Global Procurement prioritised change initiatives.
You attach great importance to details, ensure results are of high…",PostedPosted 21 days ago,?,2023-03-15,/rc/clk?jk=5c0f3310c20f519b&fccid=f1d8e147024abb3f&vjs=3
Research Analyst,Data Analyst,Corsearch,"Mumbai, Maharashtra","Are a Graduate/Post Graduate in any field and have prior experience in secondary research/data analysis.
Teams to assist our clients in achieving their goals.",PostedPosted 18 days ago,?,2023-03-15,/rc/clk?jk=04d733d8d77e73fc&fccid=bb0e634e1fb54bb9&vjs=3
MIS & Data Analyst,Data Analyst,Ubiquiti Inc.,"Gurgaon, Haryana+1 location","Display meaningful statistics and explanations of raw data.
Experience in analyzing lage data sets with minimal problems.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=ec17c85beea29c07&fccid=52e873f4c5592e60&vjs=3
QM : Data Analytics,Data Analyst,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Qlik sense back-end (data part) & front-end (Data visualizations) including Master Dimensions, Master measures, Set analysis expressions (& its significance…",PostedPosted 30 days ago,?,2023-03-15,/rc/clk?jk=430722c1d1d3cd5e&fccid=9ab138c02aaca829&vjs=3
"Analyst, People Analytics",Data Analyst,Boston Consulting Group,"New Delhi, Delhi","Applying an analytical mindset to propose data-driven solutions.
Hands-on experience of data manipulation tools such as Alteryx, SQL etc.",PostedPosted 15 days ago,?,2023-03-15,/rc/clk?jk=ce8ceec8d89f9194&fccid=b95f9eb47968fa13&vjs=3
Product Analyst,Data Analyst,Zeomega Infotech,"Bengaluru, Karnataka","In this role you would be eliciting and document requirements for various data science projects including, BI and Machine learning product initiatives.",PostedPosted 27 days ago,?,2023-03-15,/rc/clk?jk=1f7c84e6c0cee6be&fccid=163f50b24be4e6fc&vjs=3
Associate - Data Visualization,Data Analyst,Genpact,"Bengaluru, Karnataka","Experience with data management (data quality, data lineage, data mapping).
Knowledge of data management techniques, standard methodologies and preparing…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=649c18932016320f&fccid=afe30394bfba1470&vjs=3
Market Research Analyst Level-2,Data Analyst,Knowledge Sourcing Intelligence LLP,"Noida, Uttar Pradesh",Applying statistical models to forecast the market size and interpret the data along with presenting a detailed analysis of the same.,EmployerActive 5 days ago,"₹32,000 - ₹50,000 a month",2023-03-15,/company/Knowledge-Sourcing-Intelligence-LLP/jobs/Market-Research-Analyst-Level-878522608b669a88?fccid=e3e6df4c223a1108&vjs=3
Data Projects Analyst,Data Analyst,FE Fundinfo,"Remote in Chennai, Tamil Nadu","Background in data entry, both manual and automated.
As part of the managed services team, you shall be responsible for managing data required for client…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=e834aa5e4c79f9f1&fccid=bd1997296f13c938&vjs=3
Data Analyst,Data Analyst,Quess Corp Limited,"Gurgaon, Haryana","Able to work on large amount of data in a fast-paced environment and able to provide proper insights to Management.
Advance Skills in Analysis and Reading Data.",EmployerActive 16 days ago,"₹1,20,000 - ₹4,00,000 a year",2023-03-15,/company/Quess-Corp-Limited/jobs/Data-Analyst-f45a91e706998b62?fccid=0c17f90fab932792&vjs=3
Data Analyst,Data Analyst,Sea and Beyond,Tamil Nadu,"Should have knowledge of Power BI, advanced excel, analyze data, python.
Minimum 2 years of exp. as Data Analyst.
Should possess good communication skills.",PostedPosted 13 days ago,?,2023-03-15,/rc/clk?jk=110eda79a9f52603&fccid=3bdc2177cd9b3ed2&vjs=3
Data Analytics Intern,Data Analyst,Ecozen Solutions,"Pune, Maharashtra","Analyze data of IoT devices to study performance and model the physical behavior of systems.
Experience: a minimum of 3 months of similar project experience in…",PostedPosted 20 days ago,?,2023-03-15,/rc/clk?jk=433429aed990eef7&fccid=dc9baf7ba5726b92&vjs=3
Data Analyst Internship,Data Analyst,Crypto Mize,"Delhi, Delhi",Data Analyst Internship in Delhi at CryptoMize - Check Out Data Analyst Internship to A data analyst is a person who examines data using data analysis software.,PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=045dea5e40561f63&fccid=bdad58a8df3ba8a4&vjs=3
Data Analyst,Data Analyst,Thoucentric,"Bengaluru, Karnataka","§ 3-6 Years of Experience as a data analyst.
Explore and test additional/new data sources that may add value.
§ Interface across multiple teams including across…",PostedPosted 14 days ago,?,2023-03-15,/rc/clk?jk=36b3de01c15352af&fccid=deadcc7ca64ae08b&vjs=3
Data Analyst,Data Analyst,Arthimpact Digital Loans Pvt Ltd,"Gurgaon, Haryana","Implement algorithms to mine targeted data and the ability to convert data into a business story.
Analyze large and complex data sets from multiple sources.",PostedPosted 30+ days ago,"₹3,00,000 - ₹4,00,000 a year",2023-03-15,/company/Arthimpact-Digital-Loans-Private-Limited/jobs/Data-Analyst-1cd6163ab409aa0a?fccid=b9304e726430f0b1&vjs=3
Data Analyst,Data Analyst,Recruitment Smart,"Hybrid remote in Ahmedabad, Gujarat","Perform data analysis, data mining & data formatting for generating reports on a periodic basis.
Develop and implement databases, data collection systems, data…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=f0008a9414a9c4a9&fccid=31afb6325f4b11ea&vjs=3
Intern-Data Analytics,Data Analyst,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Help with data cleaning, data wrangling and data visualization.
The intern will work closely with our data scientists and analysts to assist in the analysis,…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=64190426e65d0c92&fccid=9ab138c02aaca829&vjs=3
Data Analyst - Advanced Analytics,Data Analyst,Perceptive Analytics,"Hyderabad, Telangana","Expertise and strong experience in data gathering and analysis.
Get actionable insights from data with analytical tools like Project R, SQL, R, Python etc.…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=3bc06c8b401b1111&fccid=210726a08f3619d6&vjs=3
Bioinformatician / Data analyst,Data Analyst,Clarity Bio Systems,"Powai, Mumbai, Maharashtra","Analyze LC/MS data and prepare reports.
Apply statistical data analysis and machine learning tools.
Write code in R or Python for specific data analysis…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=2d3e39103d33e206&fccid=79d730b14748119b&vjs=3
Associate Data Analytics - Freshers,Data Analyst,BigSpire Software,"Bengaluru, Karnataka","Skill Sets: Should have a good communication skills, knowledge in Hadoop, MapReduce concepts and analytical skills Qualifications: Bachelor or Master degree…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=2f52c263db66123d&fccid=1e3e186f5f922b89&vjs=3
Data Analyst,Data Analyst,Boost Tech,"Pune, Maharashtra","Provide support for ad hoc data requests from the Operations teams and Management.
Use statistical methods to analyze data and generate useful business reports…",EmployerActive 4 days ago,"Up to ₹30,62,100 a year",2023-03-15,/company/gusri-solutions/jobs/Data-Analyst-db929cfc57f49b4f?fccid=5541137634619f69&vjs=3
