,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
187,Sr. Software Engineer - AI /Machine Learning,Machine Learning Engineer,HTL COMPANY INDIA PRIVATE LIMITED,"Remote in Bengaluru, Karnataka","Familiarity with machine learning frameworks.
Designing machine learning systems and self-running artificial intelligence (AI) software to automate predictive…",EmployerActive 4 days ago,?,2023-03-15,/company/HTL-COMPANY-INDIA-PRIVATE-LIMITED/jobs/Senior-Software-Engineer-d0f3d7fe34e1f425?fccid=ac6a7d7106c1634f&vjs=3
188,Data Analyst,Machine Learning Engineer,Bombay Play,"Bengaluru, Karnataka","Knowledge of applied mathematics, statistical methods, machine learning and algorithms with a formal degree in Business/Economics/Statistics or Engineering.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=44a9dfc2e1de201d&fccid=65ce5d56294acb59&vjs=3
189,Lead Engineer Machine Learning,Machine Learning Engineer,Principal Global Services,"Remote in Pune, Maharashtra","Proficiency in orchestration of machine learning services with tools like Kubernetes or Kubeflow.
Proficiency with machine learning frameworks (like Keras,…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=2d893e950763397a&fccid=465a5180e479c046&vjs=3
190,Machine Learning Engineer,Machine Learning Engineer,WorkFusion,"Hyderabad, Telangana","Design and delivery end to end machine learning solutions.
You will collaborate with our customers and build production machine learning models for their needs.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=b99c55cc04967245&fccid=b480584f7bee501e&vjs=3
191,Data Scientist (India Remote),Machine Learning Engineer,Token Metrics,"Remote in Bengaluru, Karnataka+1 location",Token Metrics is searching for a highly capable machine learning engineer to optimize our machine learning systems.,PostedPosted 25 days ago,?,2023-03-15,/rc/clk?jk=8099c00f755726f3&fccid=bdb6ed382ffe4a54&vjs=3
192,Computer Vision Engineer,Machine Learning Engineer,GreenTech Intelligent Transportation System LLP,"New Delhi, Delhi","Hands-onexperience on machine learning/deep learning libraries tensorflow, keras, theano and sklearn.
Good programming skills in Python/C++.",EmployerActive 1 day ago,"₹25,000 - ₹50,000 a month",2023-03-15,/company/GreenTech-ITS/jobs/Computer-Vision-Engineer-d8390d9df0db9b22?fccid=1d87b513e526af5c&vjs=3
193,Researcher 3 - Machine Learning,Machine Learning Engineer,Comcast,"Chennai, Tamil Nadu","Trains machine learning models, validates the accuracy of the machine learning models once trained and deploys validated machine learning models into production…",PostedPosted 12 days ago,?,2023-03-15,/rc/clk?jk=de908333eb17e4b6&fccid=ea25315ee9da22e5&vjs=3
194,Data Engineer,Machine Learning Engineer,SoftelliGenZ Pvt Ltd,"Sahibzada Ajit Singh Nagar, Punjab","As a Data Engineer you will develop, construct, test and maintain data pipelines that allows data to move between systems; ingesting the data from its raw…",PostedPosted 30+ days ago,"₹6,13,279 - ₹9,00,000 a year",2023-03-15,/company/SoftelliGenZ-Pvt-Ltd/jobs/Data-Engineer-3d2bc59b3cbd6896?fccid=1bb3ec9f89b5087f&vjs=3
195,"AI Research Engineer (Marathi, Hindi)",Machine Learning Engineer,Sportserve,"Remote in Mumbai, Maharashtra","Run machine learning tests and experiments.
Develop machine learning applications according to requirements.
Participate in cutting edge research in artificial…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=026030665bf190ed&fccid=04ba2c6f6f48c747&vjs=3
196,We are Looking for - Quality Assurance Engineer,Machine Learning Engineer,AiRo Digital Labs,"Gurgaon, Haryana","QA engineer responsibilities include designing and implementing tests, debugging and defining corrective actions.
Knowledge on different phases of SDLC.",PostedPosted 28 days ago,?,2023-03-15,/rc/clk?jk=f021c79de95f2e6b&fccid=e48abb3c5847dcfe&vjs=3
