,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
22,Data Analytics,Data Analyst,Fuel Intelligence,"Mumbai, Maharashtra","If you have the zeal and enthusiasm to work on data, research, analytics or be super creative in designing for some of the biggest brands in the world, we…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=97f3db0652392b7a&fccid=8ca11ee8a0efa152&vjs=3
23,Senior Data Catalog Product Analyst,Data Analyst,Boston Consulting Group,"New Delhi, Delhi","Can explain data concepts like metadata, data governance, data dictionary, business glossary, data lineage and train users on using the Data Catalog platform.",PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0BRT_J8tESNZROimpc0WyD7EGfhllYDKcBPIyLxids1TTbUejwmjiSgq72YPe5icDm-vrnHojK4tZERC2CC28LEBskUUXAnV4QHcLb-J0UvRV746ZVlCh_uwbz38a5DdeSBb6EwbTiC7bv_A2relfmYbG5a65Z9-VfqlWkmnjK2fO1Fy-GrO-a8OhtjlISOxPo2QYIeQi05HfRg-VYo8lLfY565liFsHSm2z5ki6HtcyK9T15p9zIFPVINr_Xj4rt-eqcccI8u0gH6X62KDXRSjPJStReeZtQWqwPEKwcvsEdHHVP8WI4V2YucNGo2SJOw4-h7-YPHJg5aILxFm-0HuLau-eVgnKmhZe-K03B5SJXQjYzQpx2tu4peHmyWyQkBuevwtkt2S7akbCKurUTrX8YmFKvXhxbWEYjfzy33dXLFBCshg4kDBsaqAzKP6NhI1hzt00Ot9ieM6TcR6_E2JGJBk-00DutRfaiXUc69inO7vw23JgcGzyelQ4wZ6TmkhV8jEhCBMN1u39tsJKJPZ&xkcb=SoC8-_M3Syq37LwHEB0GbzkdCdPP&p=12&fvj=0&vjs=3
24,Senior Data Analyst,Data Analyst,ArcMed Analytics & Services Private Limited,"Remote in Chennai, Tamil Nadu","Should have handled large data volume.
Candidate should have min 3+ Years in Power Bi.
Experience in snowflake is added advantage.
Should be flexible for shift.",EmployerActive 1 day ago,"₹5,00,000 - ₹10,00,000 a year",2023-03-15,/company/ArcMed-Analytics-&-Services-Private-Limited/jobs/Senior-Data-Analyst-84759cedf76ef7ef?fccid=1be5b7de0e9cda2a&vjs=3
25,Data Analyst,Data Analyst,Entrupy,"Bengaluru, Karnataka","Provide regular feedback to data engineers and infrastructure teams regarding the underlying data platform.
This role will be based in our Bangalore office and…",PostedPosted 30+ days ago,"₹24,00,000 - ₹32,00,000 a year",2023-03-15,/rc/clk?jk=6b42952121555a98&fccid=4d7ef29d6370a660&vjs=3
26,Operations Analyst,Data Analyst,Ditto,Remote,"Prior experience in operations and MIS/data analysis is preferred (a minimum of 2 years).
And we are starting with Insurance.",PostedPosted 21 days ago,"₹8,00,000 - ₹12,00,000 a year",2023-03-15,/rc/clk?jk=a1780497604bb523&fccid=907aa29b5355272d&vjs=3
27,GIS Data Analyst,Data Analyst,Carifer Technologies,"Erode, Tamil Nadu","Produce reports on geographic data utilizing data visualizations.
Designing digital maps with geographic data and other data sources.",PostedPosted 30+ days ago,"₹2,00,000 - ₹3,00,000 a year",2023-03-15,/rc/clk?jk=dfcff4254289fe28&fccid=a54140f7e7e7af81&vjs=3
28,Data Analyst,Data Analyst,Eccentric Engine,Remote,Ensure 100% data adherence for every release by working with quality assurance and providing recommendations for the commissioning and decommissioning of data…,PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=2b89a6e2001f9e97&fccid=15165fd6ea7a5f4f&vjs=3
29,Data Analyst,Data Analyst,Oracle,India,"Ability to import / export data using data loaders.
Ability to user various database utilities for data loading.
Undergraduate degree or equivalent experience.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=aba6ff8d0520b567&fccid=cd22d01053af7669&vjs=3
30,Data Analyst,Data Analyst,Siemens,"Bengaluru, Karnataka","Ability to use the co-ordinates data to create Maps.
End-to-end experience in designing and deploying data visualizations using Tableau Desktop and Tableau…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=7b8bbef4146c01e8&fccid=ea6bb53f0b18b8f2&vjs=3
31,Report Analyst,Data Analyst,codemantra,Remote,"Strong analytical skills; be able to interpret data, identify trends, and make suggestions for improvements.
Bachelors degree in any subject.",PostedPosted 30+ days ago,"₹3,00,000 - ₹5,00,000 a year",2023-03-15,/rc/clk?jk=5cb2d74d45d35dc3&fccid=d48056ca59ec90aa&vjs=3
32,Business Analyst,Data Analyst,HikeOn Technologies,"Bengaluru, Karnataka","Gather data, analyze, and make recommendations to meet project objectives, prepare client presentations.
Process analysts research and conduct site observations…",PostedPosted 17 days ago,"₹7,50,000 a year",2023-03-15,/rc/clk?jk=3bcef4be6aa151fd&fccid=f05b84261c945eb1&vjs=3
